Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,SleepLatency
1503960366,12/04/2016,13162,8.5,8.5,0,1.879999995,0.550000012,6.059999943,0,25,13,328,728,1985,1,327,346,19
1503960366,13/04/2016,10735,6.96999979,6.96999979,0,1.570000052,0.689999998,4.710000038,0,21,19,217,776,1797,2,384,407,23
1503960366,15/04/2016,9762,6.28000021,6.28000021,0,2.140000105,1.25999999,2.829999924,0,29,34,209,726,1745,1,412,442,30
1503960366,16/04/2016,12669,8.159999847,8.159999847,0,2.710000038,0.409999996,5.039999962,0,36,10,221,773,1863,2,340,367,27
1503960366,17/04/2016,9705,6.480000019,6.480000019,0,3.190000057,0.779999971,2.50999999,0,38,20,164,539,1728,1,700,712,12
1503960366,19/04/2016,15506,9.880000114,9.880000114,0,3.529999971,1.320000052,5.03000021,0,50,31,264,775,2035,1,304,320,16
1503960366,20/04/2016,10544,6.679999828,6.679999828,0,1.960000038,0.479999989,4.239999771,0,28,12,205,818,1786,1,360,377,17
1503960366,21/04/2016,9819,6.340000153,6.340000153,0,1.340000033,0.349999994,4.650000095,0,19,8,211,838,1775,1,325,364,39
1503960366,23/04/2016,14371,9.039999962,9.039999962,0,2.809999943,0.870000005,5.360000134,0,41,21,262,732,1949,1,361,384,23
1503960366,24/04/2016,10039,6.409999847,6.409999847,0,2.920000076,0.209999993,3.279999971,0,39,5,238,709,1788,1,430,449,19
1503960366,25/04/2016,15355,9.800000191,9.800000191,0,5.289999962,0.569999993,3.940000057,0,73,14,216,814,2013,1,277,323,46
1503960366,26/04/2016,13755,8.789999962,8.789999962,0,2.329999924,0.920000017,5.539999962,0,31,23,279,833,1970,1,245,274,29
1503960366,28/04/2016,13154,8.529999733,8.529999733,0,3.539999962,1.159999967,3.789999962,0,48,28,189,782,1898,1,366,393,27
1503960366,29/04/2016,11181,7.150000095,7.150000095,0,1.059999943,0.5,5.579999924,0,16,12,243,815,1837,1,341,354,13
1503960366,30/04/2016,14673,9.25,9.25,0,3.559999943,1.419999957,4.269999981,0,52,34,217,712,1947,1,404,425,21
1503960366,01/05/2016,10602,6.809999943,6.809999943,0,2.289999962,1.600000024,2.920000076,0,33,35,246,730,1820,1,369,396,27
1503960366,02/05/2016,14727,9.710000038,9.710000038,0,3.210000038,0.569999993,5.920000076,0,41,15,277,798,2004,1,277,309,32
1503960366,03/05/2016,15103,9.659999847,9.659999847,0,3.730000019,1.049999952,4.880000114,0,50,24,254,816,1990,1,273,296,23
1503960366,05/05/2016,14070,8.899999619,8.899999619,0,2.920000076,1.080000043,4.880000114,0,45,24,250,857,1959,1,247,264,17
1503960366,06/05/2016,12159,8.029999733,8.029999733,0,1.970000029,0.25,5.809999943,0,24,6,289,754,1896,1,334,367,33
1503960366,07/05/2016,11992,7.710000038,7.710000038,0,2.460000038,2.119999886,3.130000114,0,37,46,175,833,1821,1,331,349,18
1503960366,08/05/2016,10060,6.579999924,6.579999924,0,3.529999971,0.319999993,2.730000019,0,44,8,203,574,1740,1,594,611,17
1503960366,09/05/2016,12022,7.71999979,7.71999979,0,3.450000048,0.529999971,3.74000001,0,46,11,206,835,1819,1,338,342,4
1503960366,10/05/2016,12207,7.769999981,7.769999981,0,3.349999905,1.159999967,3.25999999,0,46,31,214,746,1859,1,383,403,20
1503960366,11/05/2016,12770,8.130000114,8.130000114,0,2.559999943,1.00999999,4.550000191,0,36,23,251,669,1783,1,285,306,21
1644430081,29/04/2016,3176,2.309999943,2.309999943,0,0,0,2.309999943,0,0,0,120,1193,2498,1,119,127,8
1644430081,30/04/2016,18213,13.23999977,13.23999977,0,0.629999995,3.140000105,9.460000038,0,9,71,402,816,3846,1,124,142,18
1644430081,02/05/2016,3758,2.730000019,2.730000019,0,0.07,0.310000002,2.349999905,0,1,7,148,682,2580,1,796,961,165
1644430081,08/05/2016,6724,4.889999866,4.889999866,0,0,0,4.880000114,0,0,0,295,991,2987,1,137,154,17
1844505072,15/04/2016,3844,2.539999962,2.539999962,0,0,0,2.539999962,0,0,0,176,527,1725,1,644,961,317
1844505072,30/04/2016,4014,2.670000076,2.670000076,0,0,0,2.650000095,0,0,0,184,218,1763,1,722,961,239
1844505072,01/05/2016,2573,1.700000048,1.700000048,0,0,0.25999999,1.450000048,0,0,7,75,585,1541,1,590,961,371
1927972279,12/04/2016,678,0.469999999,0.469999999,0,0,0,0.469999999,0,0,0,55,734,2220,3,750,775,25
1927972279,13/04/2016,356,0.25,0.25,0,0,0,0.25,0,0,0,32,986,2151,1,398,422,24
1927972279,15/04/2016,980,0.680000007,0.680000007,0,0,0,0.680000007,0,0,0,51,941,2221,2,475,499,24
1927972279,26/04/2016,3761,2.599999905,2.599999905,0,0,0,2.599999905,0,0,0,192,1058,2638,1,296,315,19
1927972279,28/04/2016,1675,1.159999967,1.159999967,0,0,0,1.159999967,0,0,0,95,1167,2351,1,166,178,12
2026352035,12/04/2016,4414,2.74000001,2.74000001,0,0.189999998,0.349999994,2.200000048,0,3,8,181,706,1459,1,503,546,43
2026352035,13/04/2016,4993,3.099999905,3.099999905,0,0,0,3.099999905,0,0,0,238,663,1521,1,531,565,34
2026352035,14/04/2016,3335,2.069999933,2.069999933,0,0,0,2.049999952,0,0,0,197,653,1431,1,545,568,23
2026352035,15/04/2016,3821,2.369999886,2.369999886,0,0,0,2.369999886,0,0,0,188,687,1444,1,523,573,50
2026352035,16/04/2016,2547,1.580000043,1.580000043,0,0,0,1.580000043,0,0,0,150,728,1373,1,524,567,43
2026352035,17/04/2016,838,0.519999981,0.519999981,0,0,0,0.519999981,0,0,0,60,1053,1214,1,437,498,61
2026352035,19/04/2016,2424,1.5,1.5,0,0,0,1.5,0,0,0,141,785,1356,1,498,540,42
2026352035,20/04/2016,7222,4.480000019,4.480000019,0,0,0,4.480000019,0,0,0,327,623,1667,1,461,510,49
2026352035,21/04/2016,2467,1.529999971,1.529999971,0,0,0,1.529999971,0,0,0,153,749,1370,1,477,514,37
2026352035,22/04/2016,2915,1.809999943,1.809999943,0,0,0,1.809999943,0,0,0,162,712,1399,1,520,545,25
2026352035,23/04/2016,12357,7.710000038,7.710000038,0,0,0,7.710000038,0,0,0,432,458,1916,1,522,554,32
2026352035,24/04/2016,3490,2.160000086,2.160000086,0,0,0,2.160000086,0,0,0,164,704,1401,1,555,591,36
2026352035,25/04/2016,6017,3.730000019,3.730000019,0,0,0,3.730000019,0,0,0,260,821,1576,1,506,531,25
2026352035,27/04/2016,6088,3.769999981,3.769999981,0,0,0,3.769999981,0,0,0,286,586,1593,1,508,545,37
2026352035,28/04/2016,6375,3.950000048,3.950000048,0,0,0,3.950000048,0,0,0,331,626,1649,1,513,545,32
2026352035,29/04/2016,7604,4.710000038,4.710000038,0,0,0,4.710000038,0,0,0,352,492,1692,1,490,510,20
2026352035,30/04/2016,4729,2.930000067,2.930000067,0,0,0,2.930000067,0,0,0,233,594,1506,1,573,607,34
2026352035,01/05/2016,3609,2.279999971,2.279999971,0,0,0,2.279999971,0,0,0,191,716,1447,1,527,546,19
2026352035,02/05/2016,7018,4.349999905,4.349999905,0,0,0,4.349999905,0,0,0,355,716,1690,1,511,543,32
2026352035,04/05/2016,6564,4.070000172,4.070000172,0,0,0,4.070000172,0,0,0,345,530,1658,1,538,560,22
2026352035,05/05/2016,12167,7.539999962,7.539999962,0,0,0,7.539999962,0,0,0,475,479,1926,1,468,485,17
2026352035,06/05/2016,8198,5.079999924,5.079999924,0,0,0,5.079999924,0,0,0,383,511,1736,1,524,548,24
2026352035,07/05/2016,4193,2.599999905,2.599999905,0,0,0,2.599999905,0,0,0,229,665,1491,1,511,521,10
2026352035,08/05/2016,5528,3.450000048,3.450000048,0,0,0,3.450000048,0,0,0,258,610,1555,1,541,568,27
2026352035,09/05/2016,10685,6.619999886,6.619999886,0,0,0,6.599999905,0,0,0,401,543,1869,1,531,556,25
2026352035,10/05/2016,254,0.159999996,0.159999996,0,0,0,0.159999996,0,0,0,17,1002,1141,1,357,380,23
2026352035,11/05/2016,8580,5.320000172,5.320000172,0,0,0,5.320000172,0,0,0,330,569,1698,1,523,553,30
2026352035,12/05/2016,8891,5.510000229,5.510000229,0,0,0,5.510000229,0,0,0,343,330,1364,1,456,485,29
2320127002,23/04/2016,5079,3.420000076,3.420000076,0,0,0,3.420000076,0,0,0,242,1129,1804,1,61,69,8
2347167796,13/04/2016,10352,7.010000229,7.010000229,0,1.659999967,1.940000057,3.410000086,0,19,32,195,676,2038,1,467,531,64
2347167796,14/04/2016,10129,6.699999809,6.699999809,0,0.02,2.74000001,3.940000057,0,1,48,206,705,2010,1,445,489,44
2347167796,15/04/2016,10465,6.920000076,6.920000076,0,0.07,1.419999957,5.429999828,0,1,24,284,720,2133,1,452,504,52
2347167796,17/04/2016,5472,3.619999886,3.619999886,0,0.079999998,0.280000001,3.25999999,0,1,7,249,508,1882,1,556,602,46
2347167796,18/04/2016,8247,5.449999809,5.449999809,0,0.790000021,0.860000014,3.789999962,0,11,16,206,678,1944,1,500,557,57
2347167796,19/04/2016,6711,4.440000057,4.440000057,0,0,0,4.440000057,0,0,7,382,648,2346,1,465,514,49
2347167796,21/04/2016,10080,6.75,6.75,0,1.850000024,1.529999971,3.380000114,0,23,26,208,761,2048,1,460,484,24
2347167796,22/04/2016,7804,5.159999847,5.159999847,0,0.560000002,1.679999948,2.920000076,0,9,27,206,781,1946,1,405,461,56
2347167796,23/04/2016,16901,11.36999989,11.36999989,0,2.779999971,1.450000048,7.150000095,0,32,35,360,591,2629,1,374,386,12
2347167796,24/04/2016,9471,6.260000229,6.260000229,0,0,0,6.260000229,0,0,0,360,584,2187,1,442,459,17
2347167796,25/04/2016,9482,6.380000114,6.380000114,0,1.269999981,0.519999981,4.599999905,0,15,11,277,653,2095,1,433,471,38
2347167796,26/04/2016,5980,3.950000048,3.950000048,0,0,0,3.950000048,0,0,0,227,732,1861,1,436,490,54
2347167796,27/04/2016,11423,7.579999924,7.579999924,0,1.860000014,0.400000006,5.320000172,0,26,9,295,623,2194,1,448,499,51
2347167796,28/04/2016,5439,3.599999905,3.599999905,0,0,0,3.599999905,0,0,0,229,764,1854,1,408,450,42
2347167796,29/04/2016,42,0.029999999,0.029999999,0,0,0,0.029999999,0,0,0,4,2,403,1,411,473,62
3977333714,12/04/2016,8856,5.980000019,5.980000019,0,3.059999943,0.910000026,2.00999999,0,44,19,131,777,1450,1,274,469,195
3977333714,13/04/2016,10035,6.710000038,6.710000038,0,2.029999971,2.130000114,2.549999952,0,31,46,153,754,1495,2,295,456,161
3977333714,14/04/2016,7641,5.110000134,5.110000134,0,0.319999993,0.970000029,3.819999933,0,5,23,214,801,1433,1,291,397,106
3977333714,15/04/2016,9010,6.059999943,6.059999943,0,1.049999952,1.75,3.25999999,0,15,42,183,644,1468,1,424,556,132
3977333714,16/04/2016,13459,9,9,0,2.029999971,4,2.970000029,0,31,83,153,663,1625,1,283,510,227
3977333714,17/04/2016,10415,6.96999979,6.96999979,0,0.699999988,2.349999905,3.920000076,0,11,58,205,600,1529,1,381,566,185
3977333714,18/04/2016,11663,7.800000191,7.800000191,0,0.25,3.730000019,3.819999933,0,4,95,214,605,1584,2,412,522,110
3977333714,19/04/2016,12414,8.779999733,8.779999733,0,2.24000001,2.450000048,3.960000038,0,19,67,221,738,1638,1,219,395,176
